pkg_name,app_name,developer,star,review,download,rating,update_date,description,app_type,size,engines,vt_5,vt_detection,sha
robin.vitalij.cs_go_assistant,CS:GO Assistant,Vitaly Rabinouski,4.8star,2.24K reviews,100K+,Everyone 10+,"Feb 17, 2023","An indispensable assistant for Cs Go players. Install the application and get instant access to the most important information. Steam account must be public https://youtu.be/DoPd12cvqPUHow to get a personal linkhttps://youtu.be/YuoXP4V4hGo Player Profile All information, from KD to the average percentage of victories, supplemented by graphs, will help you track and analyze your game progress. Study the characteristics and indicators of your cards and weapons, both for a certain period, and for the whole time. Player Comparison We are pleased to present to your attention the opportunity to compare ourselves with other players. You can find out which of you plays better on this or that map, with weapons.This application is the surest way to get relevant information anytime, anywhere in real time!For proper operation of some screens and functions, a working Internet connection is required.P.S. Dear app users. If you have any errors, let us know.The application is under active development. If you have suggestions for improving the application, write to the mailvitalij.robin@gmail.com or we are in contact https://vk.com/faceit_assistantThis application is NOT a Valve Corporation product and was created in accordance with the rules of the Valve Developer Program.",Entertainment,18236150,,0.0,[0.0],D5E42580B51C6B46210C2FE1FB0A69172F8E056EE8975FD8387AE1D86C7347AF
com.bigsoft.videoeditor.musicvideomaker,Music Video Maker,BigSoft inc.,4.2star,19.8K reviews,5M+,Everyone,"Nov 11, 2022","👋👋 Welcome to Music Video Maker - one of the best free apps on CH Play to help you create videos and slideshows from photos and musics that are available in your phone gallery. Our app provides beautiful effects, lovely sticker sets and professional tools for joining, trimming videos and adding music to videos to produce professional-looking videos without watermark.KEY FEATURES🎞 Powerful Video Editing Tool✨ Professional video editing tools not inferior to vivavideo✨ Create videos extremely quickly and easily✨ You can select up to 60 photos from gallery to create videos✨ Select your favorite song or melody available in your app or phone and set it as the background music for your video✨ A lots of beautiful and attractive effects such as sparkling hearts, meteor shower, falling leaves to add to your videos✨ +500 stylish sticker to insert into video✨ Insert text into video, customize font format, colors, effects of text transition✨ Adjust the speed of the video✨ Choose eye-catching and cool transition effects for your photos✨ Save videos in HD resolution and share instantly with friends✨ Videos are saved in square size making it easy to share on social networks like Facebook and Instagram📽 Useful other support feature✨ Video trimmer: Easily cut and filter out the most favorite  videos✨ Join videos: Merge many of your interesting videos together.✨ Split music: Split your favorite audio in any video and save to your device as a MP3 file then merge into video slides that you will create.Download the all-in-one Music Video Maker now to create unwatermarked videos from photos and musics for free. This app is the best choice for saving and making your sweet memories even more special then sharing with your friends and family!If you have any questions or suggestions to make the application more professional, please contact us via email: bigsoft.feedback@gmail.comWe are working hard every day to make the app better and will keep doing so. Thank you for your support!NOTE: Your videos will be saved at ""Album/MusicVideoMaker"" or ""File Manager/MusicVideoMaker"" or “Gallery/MusicMusicVideoMaker""",Video Players & Editors,16516180,,0.0,[0.0],253D5939A813E473DE6FE6FC6D694BB84B19A48E6A5269AE9FE90C9048757F9C
com.vids_planet_team.satellitedirector,,,,,,,,,,9054366,,0.0,[0.0],4B262F0BCFDB737F90EB270CAB0E92A11B4BAD56DAA031B58B15F99A120190E0
com.homedesign.ideas,3D Home Design,Utilities Apps,,,1K+,Everyone,"Jul 5, 2021","A house is a building that functions as a home, ranging from simple dwellings such as rudimentary huts of nomadic tribes and the improvised shacks in shantytowns to complex, fixed structures of wood, brick, concrete or other materials containing plumbing, ventilation and electrical systems.[1][2] Houses use a range of different roofing systems to keep precipitation such as rain from getting into the dwelling space. Houses may have doors or locks to secure the dwelling space and protect its inhabitants and contents from burglars or other trespassers. Most conventional modern houses in Western cultures will contain one or more bedrooms and bathrooms, a kitchen or cooking area, and a living room. A house may have a separate dining room, or the eating area may be integrated into another room. Some large houses in North America have a recreation room. In traditional agriculture-oriented societies, domestic animals such as chickens or larger livestock (like cattle) may share part of the house with humans. The social unit that lives in a house is known as a household.Most commonly, a household is a family unit of some kind, although households may also be other social groups, such as roommates or, in a rooming house, unconnected individuals. Some houses only have a dwelling space for one family or similar-sized group; larger houses called townhouses or row houses may contain numerous family dwellings in the same structure. The design and structure of houses is also subject to change as a consequence of globalization, urbanization and other social, economic, demographic, and technological factors. Various other social and cultural factors also influence the building style and patterns of domestic space. A house may be accompanied by outbuildings, such as a garage for vehicles or a shed for gardening equipment and tools. A house may have a backyard or frontyard, which serve as additional areas where inhabitants can relax or eat.This application is a collection of home design in the form of 3D that can provide references for you to select the design of your dwelling",House & Home,11948561,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",7E105871837DE7444BAB762D901D0475E4C58CF468DA9BAAE25C45BFE8DC620A
com.ktechsystems.moneytrackerpro,Money Tracker Infinite,Vitaly Knyazev Software,4.6star,684 reviews,10K+,Everyone,"Sep 2, 2023","Advanced money manager - seamless tracking of cash accounts and investment portfolios. Simple intuitive interface, flexible cloneable reports, online exchange rates and stock quotes, excellent performance with decades of data. Schedule, enter, analyse and project your expenses months and years ahead, even offline.Automatically sync all the data between multiple devices via OneDrive or Dropbox.● The app is also available for Windows 10/11 (PC, tablets and phones) and iOS.● No data is stored online except compact encrypted OneDrive/Dropbox backups.FEATURES:● cash and investment transactions● full multi-currency support, 170 fiat currencies and 54+ cryptocurrencies● online FX rates and stock prices● photo and document attachments● data synchronization between 2+ devices via OneDrive or Dropbox● account groups● transactions with custom category/project/payee● unlimited nested categories and projects (a.k.a. tags or classes)● split transactions● memorized payees (transaction templates by payee)● scheduled periodic transactions with a reminder● fully configurable budgets and budget groups● 9 powerful cloneable and fully customizable reports with charts● each report can be cloned, renamed and saved for future use● reports and budgets can include scheduled transactions for forecasting● drill down into reports and budgets to view related transactions● OneDrive or Dropbox backups for multiple data profiles● QIF import/export, OFX/QFX import, export to CSV and Excel● password, PIN or fingerprint protection, encrypted data file● search in transactions● flexible configuration● built in calculator● excellent performance with tens of thousands transactions● and many more!LIMITATIONS:● Free version has ads and limited to 2 currencies, 10 accounts and 40 categories. All ads and limits can be removed via in-app purchase.Please contact support team to request a feature or report a defect.",Finance,3747907,,0.0,[0.0],D3E1E71CCAC74C88CAD0F96E29FE4D79A79354C24E4F827014178593E4D0065B
com.purpleberry.staticwall.cnygreeting.g01,Lunar New Year Greetings,Purple Berry,,,100K+,Everyone,"Aug 29, 2023","Happy sending Chinese New Year greetings to your friends and family. Images include the Year of Tiger, lion dance, dragon, Mandarin oranges, red packets and flowers. You can easily send them using applications available on your mobile phone, such as email and other messaging clients.Connect with Purple Berry on Facebook:https://www.facebook.com/pages/Purple-Berry/230454610454349Instagram:https://www.instagram.com/purple.berry.app/YouTube:https://www.youtube.com/channel/UC0vIRsG0lrG89qm3lJYiyHA",Lifestyle,15867479,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",F7F7EFA421D4E45B3EC818E2FD7BD37378379F510BD8056068C7083A7D352045
el.n5tv,,,,,,,,,,7819767,,0.0,[0.0],607F21AF6B681B2D1EA14703987E87528F8362DE626D81AB6041ECFAA41ED2F8
com.dicionario_bibico_free.dicionario_bibico_free,Dicionário Bíblico,Zavarise Apps,4.7star,57.1K reviews,1M+,Everyone,"Feb 16, 2023","Bible Dictionary - Study, Audio and PrayerDelve into the fascinating world of the Bible like never before with ""Bible Dictionary""! This complete and indispensable application was developed with all those who seek a greater knowledge and understanding of the Holy Scriptures in mind. With an intuitive and easy-to-use design, ""Bible Dictionary"" meets the study and devotion needs of people at all levels of biblical knowledge, from beginners to experienced scholars.By downloading ""Bible Dictionary"", you will have access to a rich variety of resources that will enrich your experience of studying the Scriptures and your spiritual life. Whether you're an avid Bible reader or someone who wants to start exploring the truths and wisdom contained in this holy book, this app is the perfect tool to aid in your journey of spiritual growth.Main features of the application:Bible Dictionary: Find detailed definitions and clear explanations of words, names and places mentioned in the Bible. The dictionary is constantly updated and improved to ensure that you always have the most accurate and relevant information at your fingertips, furthering your understanding of the sacred texts.Bible in Text and Audio: Read and listen to the Bible in the renowned Almeida Corrigida Fiel version, with high quality audio narration. This functionality allows you to immerse yourself in the Scriptures anywhere, at any time, facilitating your study and reflection, even during moments of commuting or breaks at work.Verse Sharing: Easily share Bible verses and passages with friends and family on social media. Spread the message of love, hope and faith present in the Bible, inspiring those around you.Daily Messages: Receive inspiring messages every day, specially selected to strengthen your faith and connection with God. Meditate on these words of wisdom and apply them in your everyday life, always seeking a deeper relationship with the Creator.Gospel Radio: Listen to inspiring music and preaching on the gospel radio integrated into the application. Enjoy a carefully chosen selection of praises, hymns and messages that feed your soul and strengthen your spirit, providing moments of reflection and worship throughout the day.Yearly Reading Plan: Follow an organized and structured reading plan to read the entire Bible in one year. This feature allows you to track your progress and stay motivated to delve deeper into the Scriptures daily, helping to build the habit of biblical reading and meditation.Bible Search: Quickly find verses and passages in the Bible with the advanced search feature. Enter keywords, phrases or topics of interest and easily discover texts that relate to your search. This tool is ideal for quick reference or for preparing studies, sermons and devotionals.Prayer Request: Submit prayer requests and receive spiritual support from an engaged and supportive community. Share your needs, concerns and thanks with other users of the application, strengthening the connection between brothers in faith and encouraging the practice of intercessory prayer.In addition to these features, ""Bible Dictionary"" also offers regular updates, ensuring that you are always up to date with the latest news and app improvements. Our team is constantly working to improve the user experience, fix any issues and add new features that can further enrich your study and devotion.Don't miss the opportunity to deepen your faith and expand your knowledge of the Scriptures with ""Bible Dictionary"". Download now and embark on this exciting journey of spiritual growth, faith strengthening and personal transformation through study and meditation on the Word of God.",Books & Reference,23371360,,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0]",A0CC5ACFB650B1728909F6740E006CD60C766DA709222DF96A09C7A650E3CF39
com.katagame.kata.twicon,台灣圖像大挑戰,Karta Studio,,,100+,Everyone,"Jan 22, 2020",Come challengeBecome a Master of TaiwanTaiwan icon 100Come try how many questions you can get rightImage Sourcehttps://www.twicon.page/,Casual,2182935,,0.0,[0.0],16ADEB6FDFCD508F80568F9E64322C5DF1CD01A7A91D763B8D6899D14E6DEF41
com.mtapps.quiz.football_clubs_quiz,Soccer Clubs Logo Quiz Game,MTapps,4.1star,27.4K reviews,5M+,Everyone,"Aug 16, 2023","Our app is designed for all fans of the most popular sport in the world - soccer. Do you know much about football clubs? This is probably the best logo quiz. Prove your ability with this game. Only 1% of players have managed to finish the game! If you like football trivia quiz, this app is for you. If you success guess team name you will get coins reward. You can use 4 kinds of help.Features help:1. discover 1st letter2. remove unnecessary letters3. show 1/2 name team4. show correct answer Features app:★ logos of 360 football teams★ 15 levels★ hints system★ 4 kinds of help★ every 4 guessable logos = + 1 hint★ confortable keyboard★ frequent updates★ source of knowledge:    - official Facebook page    - Transfermarkt profile    - website    - Wikipedia★ great fun★ football triviaOur application contains more than 30 leagues:★ German Bundesliga★ English Premier League★ English Championship★ Spanish La Liga★ American MLS★ Brazilian Serie A★ French Ligue 1★ Japanese J1 League★ Italian Serie A★ Italian Serie B★ Mexican Liga MX★ Australian A-League★ Dutch Eredivisie★ South Korean K-League Classic★ and others What's your favourite team? Real Madrid, FC Barcelona, Atletico Madrid, Bayern Munich, Borussia Dortmund, Chelsea, Manchester United, Arsenal, Chelsea, Boca Juniors, Santos, Ajax, AC Milan, Juventus, PSG or Galatasaray? You will find all in this game.Test your skills!DISCLAIMER:All logos shown or represented in this game are protected by copyright and/or are trademark of theirs respective corporations. The use of low-resolution images in this application for the use of logos identifying qualifies as ""fair use"" under copyright law USA.",Trivia,18008591,,0.0,[0.0],832E07FFD80E82EE51FA375027230637C738AD43E507EB1A3927226BDED3A7B7
alan.walkersongs,,,,,,,,,,9203079,,0.0,[0.0],112D5372D6E52F1D2946431F3639A5934FC59C13331C060E7E3BB4B73CBF7681
